Week,Week_Label,WAU,New,Retained,Churned,Resurrected,Quick_Ratio,Retention_Rate,Net_Growth
1,w1,1759,1759,0,0,0,,,0
2,w2,1654,723,931,828,0,0.8731884057971014,0.5292779988629903,-105
3,w3,1732,645,1000,654,87,1.1192660550458715,0.6045949214026602,78
4,w4,2116,722,1169,563,225,1.6820603907637655,0.6749422632794457,384
5,w5,2193,674,1394,722,125,1.1066481994459834,0.6587901701323251,77
6,w6,2155,489,1479,714,187,0.9467787114845938,0.6744186046511628,-38
7,w7,2549,860,1487,668,202,1.589820359281437,0.6900232018561485,394
8,w8,2875,1005,1677,872,193,1.3738532110091743,0.65790506080816,326
9,w9,2795,719,1839,1036,237,0.9227799227799228,0.6396521739130435,-80
10,w10,2821,621,1938,857,262,1.0303383897316218,0.693381037567084,26
11,w11,2746,578,1931,890,237,0.9157303370786517,0.684509039347749,-75
12,w12,2906,634,1944,802,328,1.199501246882793,0.7079388201019665,160
13,w13,3080,774,2021,885,285,1.1966101694915254,0.6954576737783895,174
14,w14,3051,669,2091,989,291,0.9706774519716885,0.6788961038961039,-29
15,w15,2953,527,2115,936,311,0.8952991452991453,0.6932153392330384,-98
16,w16,3066,537,2200,753,329,1.150066401062417,0.745005079580088,113
17,w17,3045,526,2206,860,313,0.9755813953488373,0.7195042400521853,-21
18,w18,3099,515,2209,836,375,1.0645933014354068,0.7254515599343185,54
19,w19,3068,466,2280,819,322,0.9621489621489622,0.7357212003872217,-31
20,w20,3102,542,2265,803,295,1.0423412204234122,0.7382659713168188,34
21,w21,2991,508,2179,923,304,0.8797399783315276,0.7024500322372663,-111
22,w22,3247,490,2289,702,468,1.3646723646723646,0.765295887662989,256
23,w23,3194,437,2432,815,325,0.9349693251533743,0.7489990760702187,-53
24,w24,3109,386,2425,769,298,0.8894668400520156,0.7592360676268003,-85
25,w25,3101,405,2378,731,318,0.9890560875512996,0.7648761659697652,-8
26,w26,3187,439,2404,697,344,1.1233859397417503,0.7752337955498226,86
27,w27,3185,457,2428,759,300,0.997364953886693,0.7618449952933793,-2
28,w28,3075,370,2395,790,310,0.8607594936708861,0.7519623233908949,-110
29,w29,2845,245,2292,783,308,0.7062579821200511,0.7453658536585366,-230
30,w30,2685,175,2201,644,309,0.7515527950310559,0.7736379613356766,-160
31,w31,2652,175,2172,513,305,0.935672514619883,0.8089385474860336,-33
32,w32,2557,181,2071,581,305,0.8364888123924269,0.780920060331825,-95
33,w33,2529,279,1981,576,269,0.9513888888888888,0.7747360187719984,-28
34,w34,2934,366,2109,420,459,1.9642857142857142,0.833926453143535,405
35,w35,2887,434,2227,707,226,0.9335219236209336,0.7590320381731425,-47
36,w36,3181,655,2251,636,275,1.4622641509433962,0.7797021129199861,294
37,w37,3099,504,2330,851,265,0.9036427732079906,0.7324740647595096,-82
38,w38,3401,850,2306,793,245,1.3808322824716268,0.7441110035495321,302
39,w39,3737,900,2461,940,376,1.3574468085106384,0.7236107027344899,336
40,w40,3746,798,2641,1096,307,1.0082116788321167,0.7067166176077068,9
41,w41,4014,1006,2665,1081,343,1.247918593894542,0.711425520555259,268
42,w42,3448,371,2745,1269,332,0.55397951142632,0.6838565022421524,-566
43,w43,3149,413,2445,1003,291,0.7018943170488534,0.709106728538283,-299
44,w44,3218,475,2353,796,390,1.0866834170854272,0.7472213401079708,69
45,w45,3091,422,2309,909,360,0.8602860286028603,0.7175264139216905,-127
46,w46,3583,592,2357,734,634,1.6702997275204359,0.7625363959883533,492
47,w47,3607,593,2583,1000,431,1.024,0.7209042701646665,24
48,w48,3822,643,2654,953,525,1.2256033578174186,0.7357915164957028,215
49,w49,3863,576,2825,997,462,1.041123370110331,0.739141810570382,41
50,w50,3754,549,2782,1081,423,0.8991674375578168,0.7201656743463629,-109
51,w51,3801,519,2768,986,514,1.0476673427991887,0.7373468300479489,47
52,w52,3768,550,2764,1037,454,0.9681774349083896,0.7271770586687714,-33
53,w53,3741,546,2715,1053,480,0.9743589743589743,0.7205414012738853,-27
54,w54,3909,609,2757,984,543,1.170731707317073,0.7369687249398557,168
55,w55,3806,484,2811,1098,511,0.9061930783242259,0.7191097467382962,-103
56,w56,3696,437,2786,1020,473,0.8921568627450981,0.7320021019442985,-110
